iter	RMSE
0	104836.2637
1	101785.1992
2	99577.46234
3	96858.43783
4	94274.61003
5	92392.98436
6	90804.68186
7	90272.38104
8	89668.58456
9	87672.80587
10	86002.67981
11	83865.10287
12	82365.96131
13	80896.18545
14	79946.02608
15	78765.50178
16	77695.99445
17	76864.47063
18	75928.63779
19	74627.94849
20	73797.02059
21	73069.42511
22	72200.62542
23	71008.21922
24	70200.57824
25	69496.45706
26	68543.73548
27	67911.56443
28	66908.2264
29	66468.63511
30	65648.38746
31	65196.34515
32	64748.4019
33	64201.82841
34	64034.52959
35	63695.53028
36	62961.44168
37	62204.31374
38	62069.07738
39	61879.32586
40	61689.1923
41	61469.32809
42	61215.32942
43	61076.10601
44	60295.87598
45	59420.5032
46	58813.05333
47	58573.831
48	58084.04707
49	57585.22834
50	57277.21418
51	57104.93204
52	56451.06644
53	56451.06644
54	56023.76809
55	55472.74187
56	55458.85037
57	55411.69511
58	55180.28627
59	54750.81484
60	54701.4845
61	54505.30961
62	54277.8509
63	54242.28169
64	54094.53989
65	53622.42621
66	53333.31876
67	53288.81043
68	53203.38075
69	53162.71872
70	52966.02535
71	52708.46641
72	52478.19203
73	52289.29544
74	52250.70476
75	52230.96464
76	52206.12864
77	52174.6687
78	52168.40668
79	51946.97422
80	51913.2861
81	51801.58981
82	51791.47078
83	51791.4562
84	51782.30525
85	51334.28617
86	51159.25618
87	51118.11158
88	51056.68961
89	50984.91754
90	50965.27612
91	50952.21483
92	50935.92293
93	50817.08461
94	50782.8244
95	50748.34795
96	50748.34783
97	50578.81325
98	50536.91763
99	50503.3874
100	50439.51699
101	50264.05807
102	50253.38966
103	50055.65996
104	49883.39644
105	49881.32548
106	49754.2925
107	49728.33984
108	49572.87339
109	49560.6533
110	49552.85305
111	49506.80883
112	49506.80881
113	49506.80879
114	49506.80878
115	49377.05647
116	49245.92568
117	49234.31718
118	49232.69523
119	49053.83823
120	49053.83772
121	48948.45475
122	48933.54153
123	48912.01185
124	48812.17605
125	48752.46211
126	48682.93876
127	48664.12557
128	48552.30779
129	48475.60645
130	48441.11637
131	48441.11444
132	48436.02548
133	48380.25033
134	48364.59547
135	48107.11851
136	48031.01026
137	48030.09963
138	48006.25097
139	47989.68236
140	47823.84265
141	47798.1099
142	47758.91893
143	47748.76646
144	47743.29728
145	47739.98393
146	47649.90272
147	47517.67526
148	47498.96671
149	47497.50804
150	47478.21823
151	47471.2865
152	47449.77925
153	47449.30352
154	47443.05116
155	47384.65863
156	47376.17692
157	47373.53559
158	47361.69399
159	47359.52466
160	47320.76306
161	47255.10218
162	47251.8068
163	47161.35105
164	47083.98335
165	47020.03093
166	47016.848
167	46995.45027
168	46995.41251
169	46995.27666
170	46931.71286
171	46917.56044
172	46917.55974
173	46847.97855
174	46839.72549
175	46664.04016
176	46661.33799
177	46656.48104
178	46602.09142
179	46601.13086
180	46557.86341
181	46410.35999
182	46330.31955
183	46199.98027
184	46108.92397
185	46061.2008
186	45976.96077
187	45919.90188
188	45859.84455
189	45822.92625
190	45764.778
191	45700.0437
192	45639.24169
193	45589.02119
194	45561.43532
195	45499.53664
196	45452.98507
197	45426.51912
198	45374.82018
199	45361.38654
200	45262.98564
201	45197.32905
202	45173.03774
203	45121.27261
204	45091.14018
205	45006.37678
206	44978.36196
207	44957.0449
208	44928.26543
209	44877.19529
210	44817.96857
211	44765.47254
212	44726.77501
213	44676.27089
214	44618.96768
215	44583.01192
216	44521.21958
217	44505.50268
218	44463.40852
219	44407.53737
220	44355.8948
221	44282.30637
222	44231.14724
223	44203.49188
224	44160.29226
225	44133.01508
226	44077.38541
227	44034.36488
228	43989.76002
229	43938.48157
230	43907.74659
231	43873.01193
232	43847.13582
233	43804.40049
234	43776.78081
235	43749.05689
236	43703.48036
237	43652.29759
238	43617.81808
239	43588.33732
240	43563.33368
241	43538.25823
242	43496.85494
243	43474.60255
244	43441.30609
245	43425.95131
246	43400.30888
247	43377.87373
248	43348.43055
249	43320.63883
250	43297.38222
251	43284.12822
252	43254.50053
253	43218.65819
254	43191.10723
255	43163.06613
256	43141.73721
257	43127.26912
258	43113.7038
259	43094.59705
260	43075.03993
261	43049.79769
262	43044.3348
263	43034.06877
264	43009.12302
265	42989.22615
266	42970.48484
267	42958.91847
268	42946.58278
269	42938.15881
270	42927.41616
271	42911.35703
272	42904.97055
273	42884.97949
274	42871.98808
275	42863.04214
276	42845.13897
277	42839.78595
278	42830.92449
279	42822.53172
280	42816.79934
281	42807.78717
282	42784.94826
283	42778.10504
284	42769.55569
285	42766.62007
286	42747.71047
287	42729.74838
288	42715.90737
289	42704.03764
290	42699.32176
291	42693.99283
292	42690.33824
293	42672.54266
294	42664.62894
295	42653.94417
296	42651.29009
297	42643.72325
298	42639.2089
299	42623.53295
300	42611.38204
301	42601.45814
302	42593.16364
303	42586.03391
304	42579.15006
305	42573.85823
306	42570.60279
307	42554.7823
308	42550.62697
309	42542.94189
310	42540.47379
311	42535.63421
312	42529.62323
313	42521.9633
314	42519.30039
315	42512.87555
316	42508.65936
317	42494.7176
318	42491.11301
319	42487.54858
320	42487.31153
321	42482.89778
322	42481.30204
323	42475.39588
324	42472.04043
325	42468.67385
326	42461.16433
327	42448.30261
